model,dataset,K,effective_K,auroc
resnet50.tv2_in1k,NINCO_OOD_classes,1,1,0.8368287745190102
resnet50.tv2_in1k,openimages_o,1,1,0.8742637217215956
resnet50.tv2_in1k,imagenet_r,1,1,0.8378583126666667
resnet50.tv2_in1k,imagenet_c,1,1,0.8251238840000001
resnet50.tv2_in1k,imagenet_es,1,1,0.78286247875
resnet50.tv2_in1k,imagenet_v2,1,1,0.5688730860000001
resnet50.tv2_in1k,NINCO_OOD_classes,2,2,0.8327290719480497
resnet50.tv2_in1k,openimages_o,2,2,0.872693469027664
resnet50.tv2_in1k,imagenet_r,2,2,0.8497520953333334
resnet50.tv2_in1k,imagenet_c,2,2,0.859393692
resnet50.tv2_in1k,imagenet_es,2,2,0.832201255
resnet50.tv2_in1k,imagenet_v2,2,2,0.569812138
resnet50.tv2_in1k,NINCO_OOD_classes,3,3,0.8174095604217069
resnet50.tv2_in1k,openimages_o,3,3,0.8707104795513265
resnet50.tv2_in1k,imagenet_r,3,3,0.8474935613333332
resnet50.tv2_in1k,imagenet_c,3,3,0.867196286
resnet50.tv2_in1k,imagenet_es,3,3,0.834897036875
resnet50.tv2_in1k,imagenet_v2,3,3,0.566236462
resnet50.tv2_in1k,NINCO_OOD_classes,4,4,0.8109657744500123
resnet50.tv2_in1k,openimages_o,4,4,0.8638175348163085
resnet50.tv2_in1k,imagenet_r,4,4,0.8462509813333334
resnet50.tv2_in1k,imagenet_c,4,4,0.869569544
resnet50.tv2_in1k,imagenet_es,4,4,0.8423864328124999
resnet50.tv2_in1k,imagenet_v2,4,4,0.565082574
convnext_tiny.fb_in1k,NINCO_OOD_classes,1,1,0.8659775271481048
convnext_tiny.fb_in1k,openimages_o,1,1,0.9311330858907303
convnext_tiny.fb_in1k,imagenet_r,1,1,0.8733077866666665
convnext_tiny.fb_in1k,imagenet_c,1,1,0.7920741339999999
convnext_tiny.fb_in1k,imagenet_es,1,1,0.739653550625
convnext_tiny.fb_in1k,imagenet_v2,1,1,0.5926941139999999
convnext_tiny.fb_in1k,NINCO_OOD_classes,2,2,0.8696822920073709
convnext_tiny.fb_in1k,openimages_o,2,2,0.9340454597013044
convnext_tiny.fb_in1k,imagenet_r,2,2,0.8808370919999999
convnext_tiny.fb_in1k,imagenet_c,2,2,0.8252397859999999
convnext_tiny.fb_in1k,imagenet_es,2,2,0.7797959284375
convnext_tiny.fb_in1k,imagenet_v2,2,2,0.5970084419999999
convnext_tiny.fb_in1k,NINCO_OOD_classes,3,3,0.8704533872162937
convnext_tiny.fb_in1k,openimages_o,3,3,0.9336322956708047
convnext_tiny.fb_in1k,imagenet_r,3,3,0.8831900346666667
convnext_tiny.fb_in1k,imagenet_c,3,3,0.8372079399999999
convnext_tiny.fb_in1k,imagenet_es,3,3,0.799730686875
convnext_tiny.fb_in1k,imagenet_v2,3,3,0.6025098939999999
convnext_tiny.fb_in1k,NINCO_OOD_classes,4,4,0.8365872895091022
convnext_tiny.fb_in1k,openimages_o,4,4,0.9224927405633625
convnext_tiny.fb_in1k,imagenet_r,4,4,0.8793405526666667
convnext_tiny.fb_in1k,imagenet_c,4,4,0.806171982
convnext_tiny.fb_in1k,imagenet_es,4,4,0.7719117565625
convnext_tiny.fb_in1k,imagenet_v2,4,4,0.5867003020000001
convnext_tiny.fb_in1k,NINCO_OOD_classes,5,5,0.8371727722910238
convnext_tiny.fb_in1k,openimages_o,5,5,0.922268910454345
convnext_tiny.fb_in1k,imagenet_r,5,5,0.88028803
convnext_tiny.fb_in1k,imagenet_c,5,5,0.8112490120000001
convnext_tiny.fb_in1k,imagenet_es,5,5,0.7812871765625
convnext_tiny.fb_in1k,imagenet_v2,5,5,0.588068696
