image_location,class
imagenet_c/jpeg_compression/1/ILSVRC2012_val_00028158.JPEG,default
imagenet_c/jpeg_compression/1/ILSVRC2012_val_00037861.JPEG,default
imagenet_c/gaussian_noise/5/ILSVRC2012_val_00025129.JPEG,default
imagenet_c/motion_blur/2/ILSVRC2012_val_00003014.JPEG,default
imagenet_c/fog/5/ILSVRC2012_val_00009346.JPEG,default
imagenet_c/elastic_transform/2/ILSVRC2012_val_00023559.JPEG,default
imagenet_c/jpeg_compression/4/ILSVRC2012_val_00026064.JPEG,default
imagenet_c/shot_noise/2/ILSVRC2012_val_00009379.JPEG,default
imagenet_c/jpeg_compression/1/ILSVRC2012_val_00039905.JPEG,default
imagenet_c/contrast/4/ILSVRC2012_val_00029930.JPEG,default
imagenet_c/zoom_blur/4/ILSVRC2012_val_00023869.JPEG,default
imagenet_c/motion_blur/5/ILSVRC2012_val_00010509.JPEG,default
imagenet_c/glass_blur/1/ILSVRC2012_val_00012880.JPEG,default
imagenet_c/impulse_noise/2/ILSVRC2012_val_00037846.JPEG,default
imagenet_c/pixelate/4/ILSVRC2012_val_00000994.JPEG,default
imagenet_c/contrast/4/ILSVRC2012_val_00049712.JPEG,default
imagenet_c/brightness/5/ILSVRC2012_val_00030217.JPEG,default
imagenet_c/defocus_blur/2/ILSVRC2012_val_00005870.JPEG,default
imagenet_c/fog/4/ILSVRC2012_val_00020436.JPEG,default
imagenet_c/frost/2/ILSVRC2012_val_00019459.JPEG,default
imagenet_c/glass_blur/2/ILSVRC2012_val_00035223.JPEG,default
imagenet_c/defocus_blur/5/ILSVRC2012_val_00016859.JPEG,default
imagenet_c/defocus_blur/4/ILSVRC2012_val_00032417.JPEG,default
imagenet_c/brightness/4/ILSVRC2012_val_00015157.JPEG,default
imagenet_c/shot_noise/3/ILSVRC2012_val_00037135.JPEG,default
imagenet_c/snow/4/ILSVRC2012_val_00017105.JPEG,default
imagenet_c/contrast/2/ILSVRC2012_val_00031466.JPEG,default
imagenet_c/brightness/2/ILSVRC2012_val_00006491.JPEG,default
imagenet_c/elastic_transform/1/ILSVRC2012_val_00039534.JPEG,default
imagenet_c/snow/2/ILSVRC2012_val_00034950.JPEG,default
imagenet_c/glass_blur/2/ILSVRC2012_val_00003204.JPEG,default
imagenet_c/fog/4/ILSVRC2012_val_00040388.JPEG,default
imagenet_c/defocus_blur/5/ILSVRC2012_val_00012328.JPEG,default
imagenet_c/snow/1/ILSVRC2012_val_00048890.JPEG,default
imagenet_c/frost/5/ILSVRC2012_val_00031243.JPEG,default
imagenet_c/impulse_noise/4/ILSVRC2012_val_00002922.JPEG,default
imagenet_c/elastic_transform/4/ILSVRC2012_val_00007875.JPEG,default
imagenet_c/glass_blur/4/ILSVRC2012_val_00046159.JPEG,default
imagenet_c/defocus_blur/1/ILSVRC2012_val_00034038.JPEG,default
imagenet_c/gaussian_noise/1/ILSVRC2012_val_00018466.JPEG,default
imagenet_c/brightness/2/ILSVRC2012_val_00045133.JPEG,default
imagenet_c/impulse_noise/2/ILSVRC2012_val_00041400.JPEG,default
imagenet_c/snow/2/ILSVRC2012_val_00003558.JPEG,default
imagenet_c/gaussian_noise/2/ILSVRC2012_val_00029886.JPEG,default
imagenet_c/fog/3/ILSVRC2012_val_00027283.JPEG,default
imagenet_c/jpeg_compression/3/ILSVRC2012_val_00024015.JPEG,default
imagenet_c/fog/1/ILSVRC2012_val_00039588.JPEG,default
imagenet_c/zoom_blur/3/ILSVRC2012_val_00034115.JPEG,default
imagenet_c/snow/5/ILSVRC2012_val_00004417.JPEG,default
imagenet_c/glass_blur/1/ILSVRC2012_val_00040843.JPEG,default
imagenet_c/elastic_transform/5/ILSVRC2012_val_00048119.JPEG,default
imagenet_c/elastic_transform/3/ILSVRC2012_val_00014741.JPEG,default
imagenet_c/brightness/3/ILSVRC2012_val_00019531.JPEG,default
imagenet_c/impulse_noise/3/ILSVRC2012_val_00006251.JPEG,default
imagenet_c/pixelate/4/ILSVRC2012_val_00017440.JPEG,default
imagenet_c/defocus_blur/1/ILSVRC2012_val_00009208.JPEG,default
imagenet_c/contrast/1/ILSVRC2012_val_00042751.JPEG,default
imagenet_c/fog/3/ILSVRC2012_val_00034971.JPEG,default
imagenet_c/impulse_noise/5/ILSVRC2012_val_00016331.JPEG,default
imagenet_c/contrast/3/ILSVRC2012_val_00004969.JPEG,default
imagenet_c/glass_blur/4/ILSVRC2012_val_00004873.JPEG,default
imagenet_c/defocus_blur/3/ILSVRC2012_val_00001935.JPEG,default
imagenet_c/frost/1/ILSVRC2012_val_00015045.JPEG,default
imagenet_c/pixelate/4/ILSVRC2012_val_00012259.JPEG,default
imagenet_c/fog/3/ILSVRC2012_val_00023239.JPEG,default
imagenet_c/zoom_blur/4/ILSVRC2012_val_00013655.JPEG,default
imagenet_c/contrast/3/ILSVRC2012_val_00027005.JPEG,default
imagenet_c/shot_noise/2/ILSVRC2012_val_00006402.JPEG,default
imagenet_c/contrast/1/ILSVRC2012_val_00032394.JPEG,default
imagenet_c/jpeg_compression/1/ILSVRC2012_val_00005642.JPEG,default
imagenet_c/fog/2/ILSVRC2012_val_00003606.JPEG,default
imagenet_c/jpeg_compression/5/ILSVRC2012_val_00020451.JPEG,default
imagenet_c/fog/1/ILSVRC2012_val_00035104.JPEG,default
imagenet_c/fog/3/ILSVRC2012_val_00046393.JPEG,default
imagenet_c/impulse_noise/1/ILSVRC2012_val_00036368.JPEG,default
imagenet_c/elastic_transform/1/ILSVRC2012_val_00046524.JPEG,default
imagenet_c/gaussian_noise/3/ILSVRC2012_val_00022025.JPEG,default
imagenet_c/frost/4/ILSVRC2012_val_00027207.JPEG,default
imagenet_c/zoom_blur/4/ILSVRC2012_val_00037070.JPEG,default
imagenet_c/glass_blur/1/ILSVRC2012_val_00009510.JPEG,default
imagenet_c/defocus_blur/3/ILSVRC2012_val_00009615.JPEG,default
imagenet_c/jpeg_compression/4/ILSVRC2012_val_00032930.JPEG,default
imagenet_c/fog/1/ILSVRC2012_val_00027762.JPEG,default
imagenet_c/jpeg_compression/3/ILSVRC2012_val_00001368.JPEG,default
imagenet_c/zoom_blur/2/ILSVRC2012_val_00049833.JPEG,default
imagenet_c/fog/2/ILSVRC2012_val_00037013.JPEG,default
imagenet_c/contrast/1/ILSVRC2012_val_00037719.JPEG,default
imagenet_c/frost/2/ILSVRC2012_val_00031481.JPEG,default
imagenet_c/snow/4/ILSVRC2012_val_00026508.JPEG,default
imagenet_c/impulse_noise/5/ILSVRC2012_val_00006195.JPEG,default
imagenet_c/fog/2/ILSVRC2012_val_00014328.JPEG,default
imagenet_c/shot_noise/2/ILSVRC2012_val_00019184.JPEG,default
imagenet_c/gaussian_noise/1/ILSVRC2012_val_00037941.JPEG,default
imagenet_c/elastic_transform/2/ILSVRC2012_val_00004756.JPEG,default
imagenet_c/zoom_blur/3/ILSVRC2012_val_00047400.JPEG,default
imagenet_c/frost/2/ILSVRC2012_val_00003297.JPEG,default
imagenet_c/glass_blur/2/ILSVRC2012_val_00010763.JPEG,default
imagenet_c/glass_blur/4/ILSVRC2012_val_00005427.JPEG,default
imagenet_c/gaussian_noise/1/ILSVRC2012_val_00045402.JPEG,default
imagenet_c/glass_blur/5/ILSVRC2012_val_00015266.JPEG,default
imagenet_c/impulse_noise/4/ILSVRC2012_val_00015223.JPEG,default
imagenet_c/snow/4/ILSVRC2012_val_00012814.JPEG,default
imagenet_c/glass_blur/3/ILSVRC2012_val_00046833.JPEG,default
imagenet_c/gaussian_noise/4/ILSVRC2012_val_00025347.JPEG,default
imagenet_c/brightness/5/ILSVRC2012_val_00006526.JPEG,default
imagenet_c/jpeg_compression/4/ILSVRC2012_val_00045415.JPEG,default
imagenet_c/elastic_transform/1/ILSVRC2012_val_00045172.JPEG,default
imagenet_c/glass_blur/1/ILSVRC2012_val_00013512.JPEG,default
imagenet_c/fog/5/ILSVRC2012_val_00030224.JPEG,default
imagenet_c/motion_blur/2/ILSVRC2012_val_00010999.JPEG,default
imagenet_c/gaussian_noise/4/ILSVRC2012_val_00032855.JPEG,default
imagenet_c/zoom_blur/2/ILSVRC2012_val_00016538.JPEG,default
imagenet_c/defocus_blur/1/ILSVRC2012_val_00019236.JPEG,default
imagenet_c/defocus_blur/5/ILSVRC2012_val_00047029.JPEG,default
imagenet_c/contrast/4/ILSVRC2012_val_00035833.JPEG,default
imagenet_c/impulse_noise/2/ILSVRC2012_val_00037611.JPEG,default
imagenet_c/defocus_blur/5/ILSVRC2012_val_00015863.JPEG,default
imagenet_c/contrast/3/ILSVRC2012_val_00013998.JPEG,default
