image_location,class
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/auto_exposure/l1/param_1/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/auto_exposure/l1/param_2/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/auto_exposure/l1/param_3/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/auto_exposure/l1/param_4/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/auto_exposure/l1/param_5/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_1/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_2/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_3/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_4/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_5/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_6/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_7/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_8/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_9/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_10/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_11/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_12/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_13/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_14/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_15/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_16/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_17/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_18/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_19/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_20/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_21/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_22/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_23/n02699494/ILSVRC2012_val_00030992.JPEG,default
/home/rahim/exp/Data/openood_data/imagenet_es/es-test/param_control/l1/param_24/n02699494/ILSVRC2012_val_00030992.JPEG,default
